Node name, sub deadline ratio, DSP, Shared mem, Const mem, data mem
multiply_353, 0.22, 2, None, None, None, None
add_351, 0.38, 2, None, None, None, None
read_u1_h_94_1x128, 0.28, None, None, 5, None, None
multiply_354, 0.15, 2, None, None, None, None
add_352, 0.49, 2, None, None, None, None
read_u1_h_95_1x128, 0.11, None, None, 5, None, None
multiply_355, 0.20, 2, None, None, None, None
add_353, 0.24, 2, None, None, None, None
read_u1_h_96_1x128, 0.44, None, None, 5, None, None
multiply_356, 0.43, 2, None, None, None, None
add_354, 0.48, 2, None, None, None, None
read_u1_h_97_1x128, 0.36, None, None, 5, None, None
multiply_357, 0.24, 2, None, None, None, None
add_355, 0.40, 2, None, None, None, None
read_u1_h_98_1x128, 0.36, None, None, 5, None, None
multiply_358, 0.42, 2, None, None, None, None
add_356, 0.49, 2, None, None, None, None
read_u1_h_99_1x128, 0.40, None, None, 5, None, None
multiply_359, 0.31, 2, None, None, None, None
add_357, 0.28, 2, None, None, None, None
read_u1_h_100_1x128, 0.31, None, None, 5, None, None
multiply_360, 0.34, 2, None, None, None, None
add_358, 0.16, 2, None, None, None, None
read_u1_h_101_1x128, 0.48, None, None, 5, None, None
multiply_361, 0.30, 2, None, None, None, None
add_359, 0.21, 2, None, None, None, None
read_u1_h_102_1x128, 0.15, None, None, 5, None, None
multiply_362, 0.38, 2, None, None, None, None
add_360, 0.16, 2, None, None, None, None
read_u1_h_103_1x128, 0.25, None, None, 5, None, None
multiply_363, 0.17, 2, None, None, None, None
add_361, 0.31, 2, None, None, None, None
read_u1_h_104_1x128, 0.19, None, None, 5, None, None
multiply_364, 0.22, 2, None, None, None, None
add_362, 0.16, 2, None, None, None, None
read_u1_h_105_1x128, 0.34, None, None, 5, None, None
multiply_365, 0.42, 2, None, None, None, None
add_363, 0.48, 2, None, None, None, None
read_u1_h_106_1x128, 0.43, None, None, 5, None, None
multiply_366, 0.48, 2, None, None, None, None
add_364, 0.46, 2, None, None, None, None
read_u1_h_107_1x128, 0.43, None, None, 5, None, None
multiply_367, 0.36, 2, None, None, None, None
add_365, 0.15, 2, None, None, None, None
read_u1_h_108_1x128, 0.16, None, None, 5, None, None
multiply_368, 0.45, 2, None, None, None, None
add_366, 0.35, 2, None, None, None, None
read_u1_h_109_1x128, 0.40, None, None, 5, None, None
multiply_369, 0.32, 2, None, None, None, None
add_367, 0.21, 2, None, None, None, None
read_u1_h_110_1x128, 0.44, None, None, 5, None, None
multiply_370, 0.37, 2, None, None, None, None
add_368, 0.18, 2, None, None, None, None
read_u1_h_111_1x128, 0.10, None, None, 5, None, None
multiply_371, 0.15, 2, None, None, None, None
add_369, 0.19, 2, None, None, None, None
read_u1_h_112_1x128, 0.28, None, None, 5, None, None
multiply_372, 0.33, 2, None, None, None, None
add_370, 0.35, 2, None, None, None, None
read_u1_h_113_1x128, 0.35, None, None, 5, None, None
multiply_373, 0.10, 2, None, None, None, None
add_371, 0.19, 2, None, None, None, None
read_u1_h_114_1x128, 0.39, None, None, 5, None, None
multiply_374, 0.33, 2, None, None, None, None
add_372, 0.18, 2, None, None, None, None
read_u1_h_115_1x128, 0.27, None, None, 5, None, None
multiply_375, 0.21, 2, None, None, None, None
add_373, 0.34, 2, None, None, None, None
read_u1_h_116_1x128, 0.47, None, None, 5, None, None
multiply_376, 0.37, 2, None, None, None, None
add_374, 0.39, 2, None, None, None, None
read_u1_h_117_1x128, 0.25, None, None, 5, None, None
multiply_377, 0.43, 2, None, None, None, None
add_375, 0.38, 2, None, None, None, None
read_u1_h_118_1x128, 0.14, None, None, 5, None, None
multiply_378, 0.14, 2, None, None, None, None
add_376, 0.13, 2, None, None, None, None
read_u1_h_119_1x128, 0.31, None, None, 5, None, None
multiply_379, 0.34, 2, None, None, None, None
add_377, 0.31, 2, None, None, None, None
read_u1_h_120_1x128, 0.39, None, None, 5, None, None
multiply_380, 0.35, 2, None, None, None, None
add_378, 0.43, 2, None, None, None, None
read_u1_h_121_1x128, 0.48, None, None, 5, None, None
multiply_381, 0.42, 2, None, None, None, None
add_379, 0.32, 2, None, None, None, None
read_u1_h_122_1x128, 0.28, None, None, 5, None, None
multiply_382, 0.30, 2, None, None, None, None
add_380, 0.28, 2, None, None, None, None
read_u1_h_123_1x128, 0.13, None, None, 5, None, None
multiply_383, 0.21, 2, None, None, None, None
add_381, 0.16, 2, None, None, None, None
read_u1_h_124_1x128, 0.38, None, None, 5, None, None
multiply_384, 0.20, 2, None, None, None, None
add_382, 0.45, 2, None, None, None, None
read_u1_h_125_1x128, 0.33, None, None, 5, None, None
multiply_385, 0.30, 2, None, None, None, None
add_383, 0.21, 2, None, None, None, None
read_u1_h_126_1x128, 0.16, None, None, 5, None, None
multiply_386, 0.18, 2, None, None, None, None
add_384, 0.30, 2, None, None, None, None
read_u1_h_127_1x128, 0.21, None, None, 5, None, None
multiply_387, 0.35, 2, None, None, None, None
write_result_u1_h_bh_h, 0.33, None, None, None, 3, None
sinh_cosh_1, 0.12, 14, None, None, None, None
read_u1_z_sig_in, 0.14, None, None, None, 3, None
sinh_cosh_2, 0.36, 14, None, None, None, None
read_u1_r_sig_in, 0.30, None, None, None, 3, None
write_u1_z_sinh_u1_z_cosh, 0.40, None, None, None, 3, None
write_u1_r_sinh_u1_r_cosh, 0.24, None, None, None, 3, None
read_u1_z_sinh, 0.49, None, None, None, 3, None
read_u1_z_cosh, 0.27, None, None, None, 3, None
add_386, 0.11, 2, None, None, None, None
read_u1_r_sinh, 0.43, None, None, None, 3, None
read_u1_r_cosh, 0.50, None, None, None, 3, None
add_387, 0.23, 2, None, None, None, None
read_one, 0.15, None, None, 5, None, None
write_u1_z_exp_1, 0.21, None, None, None, 3, None
write_u1_r_exp_1, 0.11, None, None, None, 3, None
divide_1, 0.23, 8, None, None, None, None
divide_2, 0.15, 8, None, None, None, None
read_u1_z_exp_1, 0.33, None, None, None, 3, None
read_u1_r_exp_1, 0.18, None, None, None, 3, None
write_z1_t, 0.15, None, None, None, 3, None
write_r1_t, 0.12, None, None, None, 3, None
read_result_u1_h_bh_h, 0.14, None, None, None, 3, None
multiply_388, 0.10, 2, None, None, None, None
read_r1_t, 0.31, None, None, None, 3, None
write_result_r1_t_mul_r, 0.16, None, None, None, 3, None
read_result_w1_h_in, 0.46, None, None, None, 3, None
read_result_r1_t_mul_r, 0.29, None, None, None, 3, None
read_b1_h, 0.16, None, None, 5, None, None
add_519, 0.11, 2, None, None, None, None
write_tanh_in, 0.38, None, None, None, 3, None
write_tanh_in, 0.50, None, None, None, 3, None
read_tanh_in, 0.26, None, None, None, 3, None
read_tanh_in, 0.49, None, None, None, 3, None
add_520, 0.45, 2, None, None, None, None
write_tanh_in2, 0.43, None, None, None, 3, None
read_tanh_in2, 0.32, None, None, None, 3, None
sinh_cosh_3, 0.47, 14, None, None, None, None
write_tanh_sinh_tanh_cosh, 0.39, None, None, None, 3, None
read_tanh_sinh, 0.28, None, None, None, 3, None
read_tanh_cosh, 0.18, None, None, None, 3, None
add_521, 0.35, 2, None, None, None, None
write_tanh_exp_1, 0.41, None, None, None, 3, None
read_tanh_exp_1, 0.23, None, None, None, 3, None
divide_3, 0.38, 8, None, None, None, None
write_tanh_division, 0.22, None, None, None, 3, None
write_tanh_division, 0.44, None, None, None, 3, None
read_z1_t, 0.30, None, None, None, 3, None
sub_1, 0.44, 2, None, None, None, None
write_1_z1_t, 0.24, None, None, None, 3, None
read_tanh_division, 0.43, None, None, None, 3, None
read_tanh_division, 0.31, None, None, None, 3, None
add_522, 0.46, 2, None, None, None, None
write_h1_tilde, 0.37, None, None, None, 3, None
read_h1_tilde, 0.37, None, None, None, 3, None
multiply_389, 0.23, 2, None, None, None, None
write_z1_t_mul_h1_tilde, 0.38, None, None, None, 3, None
read_1_z1_t, 0.30, None, None, None, 3, None
read_cell_hidden, 0.42, None, 3, None, None, None
multiply_390, 0.10, 2, None, None, None, None
write_cell_hidden_1_z1_t, 0.38, None, None, None, 3, None
read_z1_t_mul_h1_tilde, 0.33, None, None, None, 3, None
read_cell_hidden_1_z1_t, 0.17, None, None, None, 3, None
add_523, 0.35, 2, None, None, None, None
write_hidden_1, 0.20, None, 3, None, None, None
read_hidden_1_1x1_0, 0.28, None, 3, None, None, None
read_w2_z_0_1x128, 0.43, None, None, 5, None, None
multiply_391, 0.29, 2, None, None, None, None
add_524, 0.34, 2, None, None, None, None
read_b2_z, 0.28, None, None, 5, None, None
add_780, 0.39, 2, None, None, None, None
read_hidden_1_1x1_1, 0.46, None, 3, None, None, None
read_w2_z_1_1x128, 0.30, None, None, 5, None, None
multiply_392, 0.25, 2, None, None, None, None
add_525, 0.39, 2, None, None, None, None
read_hidden_1_1x1_2, 0.15, None, 3, None, None, None
read_w2_z_2_1x128, 0.22, None, None, 5, None, None
multiply_393, 0.11, 2, None, None, None, None
add_526, 0.47, 2, None, None, None, None
read_hidden_1_1x1_3, 0.43, None, 3, None, None, None
read_w2_z_3_1x128, 0.22, None, None, 5, None, None
multiply_394, 0.39, 2, None, None, None, None
add_527, 0.15, 2, None, None, None, None
read_hidden_1_1x1_4, 0.29, None, 3, None, None, None
read_w2_z_4_1x128, 0.14, None, None, 5, None, None
multiply_395, 0.43, 2, None, None, None, None
add_528, 0.42, 2, None, None, None, None
read_hidden_1_1x1_5, 0.40, None, 3, None, None, None
read_w2_z_5_1x128, 0.13, None, None, 5, None, None
multiply_396, 0.40, 2, None, None, None, None
add_529, 0.18, 2, None, None, None, None
read_hidden_1_1x1_6, 0.37, None, 3, None, None, None
read_w2_z_6_1x128, 0.16, None, None, 5, None, None
multiply_397, 0.17, 2, None, None, None, None
add_530, 0.18, 2, None, None, None, None
read_hidden_1_1x1_7, 0.20, None, 3, None, None, None
read_w2_z_7_1x128, 0.47, None, None, 5, None, None
multiply_398, 0.11, 2, None, None, None, None
add_531, 0.22, 2, None, None, None, None
read_hidden_1_1x1_8, 0.16, None, 3, None, None, None
read_w2_z_8_1x128, 0.32, None, None, 5, None, None
multiply_399, 0.17, 2, None, None, None, None
add_532, 0.10, 2, None, None, None, None
read_hidden_1_1x1_9, 0.28, None, 3, None, None, None
read_w2_z_9_1x128, 0.23, None, None, 5, None, None
multiply_400, 0.35, 2, None, None, None, None
add_533, 0.39, 2, None, None, None, None
read_hidden_1_1x1_10, 0.36, None, 3, None, None, None
read_w2_z_10_1x128, 0.19, None, None, 5, None, None
multiply_401, 0.47, 2, None, None, None, None
add_534, 0.38, 2, None, None, None, None
read_hidden_1_1x1_11, 0.14, None, 3, None, None, None
read_w2_z_11_1x128, 0.45, None, None, 5, None, None
multiply_402, 0.39, 2, None, None, None, None
add_535, 0.25, 2, None, None, None, None
read_hidden_1_1x1_12, 0.10, None, 3, None, None, None
read_w2_z_12_1x128, 0.40, None, None, 5, None, None
multiply_403, 0.34, 2, None, None, None, None
add_536, 0.31, 2, None, None, None, None
read_hidden_1_1x1_13, 0.50, None, 3, None, None, None
read_w2_z_13_1x128, 0.49, None, None, 5, None, None
multiply_404, 0.30, 2, None, None, None, None
add_537, 0.39, 2, None, None, None, None
read_hidden_1_1x1_14, 0.46, None, 3, None, None, None
read_w2_z_14_1x128, 0.24, None, None, 5, None, None
multiply_405, 0.45, 2, None, None, None, None
add_538, 0.14, 2, None, None, None, None
read_hidden_1_1x1_15, 0.40, None, 3, None, None, None
read_w2_z_15_1x128, 0.29, None, None, 5, None, None
multiply_406, 0.48, 2, None, None, None, None
add_539, 0.15, 2, None, None, None, None
read_hidden_1_1x1_16, 0.47, None, 3, None, None, None
read_w2_z_16_1x128, 0.43, None, None, 5, None, None
multiply_407, 0.36, 2, None, None, None, None
add_540, 0.17, 2, None, None, None, None
read_hidden_1_1x1_17, 0.48, None, 3, None, None, None
read_w2_z_17_1x128, 0.11, None, None, 5, None, None
multiply_408, 0.20, 2, None, None, None, None
add_541, 0.40, 2, None, None, None, None
read_hidden_1_1x1_18, 0.46, None, 3, None, None, None
read_w2_z_18_1x128, 0.50, None, None, 5, None, None
multiply_409, 0.11, 2, None, None, None, None
add_542, 0.25, 2, None, None, None, None
read_hidden_1_1x1_19, 0.46, None, 3, None, None, None
read_w2_z_19_1x128, 0.47, None, None, 5, None, None
multiply_410, 0.29, 2, None, None, None, None
add_543, 0.32, 2, None, None, None, None
read_hidden_1_1x1_20, 0.17, None, 3, None, None, None
read_w2_z_20_1x128, 0.42, None, None, 5, None, None
multiply_411, 0.46, 2, None, None, None, None
add_544, 0.27, 2, None, None, None, None
read_hidden_1_1x1_21, 0.43, None, 3, None, None, None
read_w2_z_21_1x128, 0.23, None, None, 5, None, None
multiply_412, 0.30, 2, None, None, None, None
add_545, 0.20, 2, None, None, None, None
read_hidden_1_1x1_22, 0.44, None, 3, None, None, None
read_w2_z_22_1x128, 0.35, None, None, 5, None, None
multiply_413, 0.22, 2, None, None, None, None
add_546, 0.20, 2, None, None, None, None
read_hidden_1_1x1_23, 0.21, None, 3, None, None, None
read_w2_z_23_1x128, 0.13, None, None, 5, None, None
multiply_414, 0.35, 2, None, None, None, None
add_547, 0.25, 2, None, None, None, None
read_hidden_1_1x1_24, 0.25, None, 3, None, None, None
read_w2_z_24_1x128, 0.33, None, None, 5, None, None
multiply_415, 0.33, 2, None, None, None, None
add_548, 0.13, 2, None, None, None, None
read_hidden_1_1x1_25, 0.17, None, 3, None, None, None
read_w2_z_25_1x128, 0.22, None, None, 5, None, None
multiply_416, 0.16, 2, None, None, None, None
add_549, 0.11, 2, None, None, None, None
read_hidden_1_1x1_26, 0.32, None, 3, None, None, None
read_w2_z_26_1x128, 0.18, None, None, 5, None, None
multiply_417, 0.50, 2, None, None, None, None
add_550, 0.15, 2, None, None, None, None
read_hidden_1_1x1_27, 0.13, None, 3, None, None, None
read_w2_z_27_1x128, 0.17, None, None, 5, None, None
multiply_418, 0.45, 2, None, None, None, None
add_551, 0.17, 2, None, None, None, None
read_hidden_1_1x1_28, 0.48, None, 3, None, None, None
read_w2_z_28_1x128, 0.11, None, None, 5, None, None
multiply_419, 0.18, 2, None, None, None, None
add_552, 0.38, 2, None, None, None, None
read_hidden_1_1x1_29, 0.36, None, 3, None, None, None
read_w2_z_29_1x128, 0.45, None, None, 5, None, None
multiply_420, 0.16, 2, None, None, None, None
add_553, 0.43, 2, None, None, None, None
read_hidden_1_1x1_30, 0.14, None, 3, None, None, None
read_w2_z_30_1x128, 0.21, None, None, 5, None, None
multiply_421, 0.26, 2, None, None, None, None
add_554, 0.32, 2, None, None, None, None
read_hidden_1_1x1_31, 0.17, None, 3, None, None, None
read_w2_z_31_1x128, 0.35, None, None, 5, None, None
multiply_422, 0.30, 2, None, None, None, None
add_555, 0.38, 2, None, None, None, None
read_hidden_1_1x1_32, 0.11, None, 3, None, None, None
read_w2_z_32_1x128, 0.39, None, None, 5, None, None
multiply_423, 0.38, 2, None, None, None, None
add_556, 0.16, 2, None, None, None, None
read_hidden_1_1x1_33, 0.27, None, 3, None, None, None
read_w2_z_33_1x128, 0.15, None, None, 5, None, None
multiply_424, 0.29, 2, None, None, None, None
add_557, 0.37, 2, None, None, None, None
read_hidden_1_1x1_34, 0.38, None, 3, None, None, None
read_w2_z_34_1x128, 0.50, None, None, 5, None, None
multiply_425, 0.28, 2, None, None, None, None
add_558, 0.37, 2, None, None, None, None
read_hidden_1_1x1_35, 0.49, None, 3, None, None, None
read_w2_z_35_1x128, 0.38, None, None, 5, None, None
multiply_426, 0.36, 2, None, None, None, None
add_559, 0.33, 2, None, None, None, None
read_hidden_1_1x1_36, 0.20, None, 3, None, None, None
read_w2_z_36_1x128, 0.43, None, None, 5, None, None
multiply_427, 0.38, 2, None, None, None, None
add_560, 0.42, 2, None, None, None, None
read_hidden_1_1x1_37, 0.46, None, 3, None, None, None
read_w2_z_37_1x128, 0.16, None, None, 5, None, None
multiply_428, 0.36, 2, None, None, None, None
add_561, 0.16, 2, None, None, None, None
read_hidden_1_1x1_38, 0.27, None, 3, None, None, None
read_w2_z_38_1x128, 0.15, None, None, 5, None, None
multiply_429, 0.49, 2, None, None, None, None
add_562, 0.25, 2, None, None, None, None
read_hidden_1_1x1_39, 0.26, None, 3, None, None, None
read_w2_z_39_1x128, 0.43, None, None, 5, None, None
multiply_430, 0.49, 2, None, None, None, None
add_563, 0.46, 2, None, None, None, None
read_hidden_1_1x1_40, 0.24, None, 3, None, None, None
read_w2_z_40_1x128, 0.16, None, None, 5, None, None
multiply_431, 0.11, 2, None, None, None, None
add_564, 0.11, 2, None, None, None, None
read_hidden_1_1x1_41, 0.25, None, 3, None, None, None
read_w2_z_41_1x128, 0.28, None, None, 5, None, None
multiply_432, 0.31, 2, None, None, None, None
add_565, 0.31, 2, None, None, None, None
read_hidden_1_1x1_42, 0.22, None, 3, None, None, None
read_w2_z_42_1x128, 0.19, None, None, 5, None, None
multiply_433, 0.18, 2, None, None, None, None
add_566, 0.33, 2, None, None, None, None
read_hidden_1_1x1_43, 0.38, None, 3, None, None, None
read_w2_z_43_1x128, 0.11, None, None, 5, None, None
multiply_434, 0.39, 2, None, None, None, None
add_567, 0.45, 2, None, None, None, None
read_hidden_1_1x1_44, 0.44, None, 3, None, None, None
read_w2_z_44_1x128, 0.43, None, None, 5, None, None
multiply_435, 0.42, 2, None, None, None, None
add_568, 0.36, 2, None, None, None, None
read_hidden_1_1x1_45, 0.43, None, 3, None, None, None
read_w2_z_45_1x128, 0.49, None, None, 5, None, None
multiply_436, 0.39, 2, None, None, None, None
add_569, 0.43, 2, None, None, None, None
read_hidden_1_1x1_46, 0.15, None, 3, None, None, None
read_w2_z_46_1x128, 0.30, None, None, 5, None, None
multiply_437, 0.10, 2, None, None, None, None
add_570, 0.50, 2, None, None, None, None
read_hidden_1_1x1_47, 0.28, None, 3, None, None, None
read_w2_z_47_1x128, 0.26, None, None, 5, None, None
multiply_438, 0.22, 2, None, None, None, None
add_571, 0.28, 2, None, None, None, None
read_hidden_1_1x1_48, 0.46, None, 3, None, None, None
read_w2_z_48_1x128, 0.42, None, None, 5, None, None
multiply_439, 0.18, 2, None, None, None, None
add_572, 0.28, 2, None, None, None, None
read_hidden_1_1x1_49, 0.49, None, 3, None, None, None
read_w2_z_49_1x128, 0.16, None, None, 5, None, None
multiply_440, 0.34, 2, None, None, None, None
add_573, 0.18, 2, None, None, None, None
read_hidden_1_1x1_50, 0.25, None, 3, None, None, None
read_w2_z_50_1x128, 0.48, None, None, 5, None, None
multiply_441, 0.24, 2, None, None, None, None
add_574, 0.30, 2, None, None, None, None
read_hidden_1_1x1_51, 0.16, None, 3, None, None, None
read_w2_z_51_1x128, 0.11, None, None, 5, None, None
multiply_442, 0.36, 2, None, None, None, None
add_575, 0.39, 2, None, None, None, None
read_hidden_1_1x1_52, 0.29, None, 3, None, None, None
read_w2_z_52_1x128, 0.20, None, None, 5, None, None
multiply_443, 0.16, 2, None, None, None, None
add_576, 0.46, 2, None, None, None, None
read_hidden_1_1x1_53, 0.48, None, 3, None, None, None
read_w2_z_53_1x128, 0.30, None, None, 5, None, None
multiply_444, 0.30, 2, None, None, None, None
add_577, 0.22, 2, None, None, None, None
read_hidden_1_1x1_54, 0.16, None, 3, None, None, None
read_w2_z_54_1x128, 0.30, None, None, 5, None, None
multiply_445, 0.34, 2, None, None, None, None
add_578, 0.14, 2, None, None, None, None
read_hidden_1_1x1_55, 0.36, None, 3, None, None, None
read_w2_z_55_1x128, 0.34, None, None, 5, None, None
multiply_446, 0.29, 2, None, None, None, None
add_579, 0.42, 2, None, None, None, None
read_hidden_1_1x1_56, 0.23, None, 3, None, None, None
read_w2_z_56_1x128, 0.21, None, None, 5, None, None
multiply_447, 0.29, 2, None, None, None, None
add_580, 0.43, 2, None, None, None, None
read_hidden_1_1x1_57, 0.24, None, 3, None, None, None
read_w2_z_57_1x128, 0.10, None, None, 5, None, None
multiply_448, 0.25, 2, None, None, None, None
add_581, 0.14, 2, None, None, None, None
read_hidden_1_1x1_58, 0.21, None, 3, None, None, None
read_w2_z_58_1x128, 0.23, None, None, 5, None, None
multiply_449, 0.23, 2, None, None, None, None
add_582, 0.36, 2, None, None, None, None
read_hidden_1_1x1_59, 0.46, None, 3, None, None, None
read_w2_z_59_1x128, 0.24, None, None, 5, None, None
multiply_450, 0.44, 2, None, None, None, None
add_583, 0.26, 2, None, None, None, None
read_hidden_1_1x1_60, 0.35, None, 3, None, None, None
read_w2_z_60_1x128, 0.42, None, None, 5, None, None
multiply_451, 0.39, 2, None, None, None, None
add_584, 0.18, 2, None, None, None, None
read_hidden_1_1x1_61, 0.21, None, 3, None, None, None
read_w2_z_61_1x128, 0.45, None, None, 5, None, None
multiply_452, 0.32, 2, None, None, None, None
add_585, 0.19, 2, None, None, None, None
read_hidden_1_1x1_62, 0.21, None, 3, None, None, None
read_w2_z_62_1x128, 0.20, None, None, 5, None, None
multiply_453, 0.13, 2, None, None, None, None
add_586, 0.17, 2, None, None, None, None
read_hidden_1_1x1_63, 0.35, None, 3, None, None, None
read_w2_z_63_1x128, 0.36, None, None, 5, None, None
multiply_454, 0.36, 2, None, None, None, None
add_587, 0.23, 2, None, None, None, None
read_hidden_1_1x1_64, 0.37, None, 3, None, None, None
read_w2_z_64_1x128, 0.22, None, None, 5, None, None
multiply_455, 0.35, 2, None, None, None, None
add_588, 0.14, 2, None, None, None, None
read_hidden_1_1x1_65, 0.42, None, 3, None, None, None
read_w2_z_65_1x128, 0.34, None, None, 5, None, None
multiply_456, 0.22, 2, None, None, None, None
add_589, 0.10, 2, None, None, None, None
read_hidden_1_1x1_66, 0.34, None, 3, None, None, None
read_w2_z_66_1x128, 0.30, None, None, 5, None, None
multiply_457, 0.36, 2, None, None, None, None
add_590, 0.44, 2, None, None, None, None
read_hidden_1_1x1_67, 0.50, None, 3, None, None, None
read_w2_z_67_1x128, 0.34, None, None, 5, None, None
multiply_458, 0.27, 2, None, None, None, None
add_591, 0.30, 2, None, None, None, None
read_hidden_1_1x1_68, 0.49, None, 3, None, None, None
read_w2_z_68_1x128, 0.26, None, None, 5, None, None
multiply_459, 0.29, 2, None, None, None, None
add_592, 0.13, 2, None, None, None, None
read_hidden_1_1x1_69, 0.14, None, 3, None, None, None
read_w2_z_69_1x128, 0.45, None, None, 5, None, None
multiply_460, 0.27, 2, None, None, None, None
add_593, 0.13, 2, None, None, None, None
read_hidden_1_1x1_70, 0.27, None, 3, None, None, None
read_w2_z_70_1x128, 0.44, None, None, 5, None, None
multiply_461, 0.41, 2, None, None, None, None
add_594, 0.10, 2, None, None, None, None
read_hidden_1_1x1_71, 0.17, None, 3, None, None, None
read_w2_z_71_1x128, 0.29, None, None, 5, None, None
multiply_462, 0.35, 2, None, None, None, None
add_595, 0.12, 2, None, None, None, None
read_hidden_1_1x1_72, 0.45, None, 3, None, None, None
read_w2_z_72_1x128, 0.21, None, None, 5, None, None
multiply_463, 0.43, 2, None, None, None, None
add_596, 0.38, 2, None, None, None, None
read_hidden_1_1x1_73, 0.48, None, 3, None, None, None
read_w2_z_73_1x128, 0.34, None, None, 5, None, None
multiply_464, 0.23, 2, None, None, None, None
add_597, 0.47, 2, None, None, None, None
read_hidden_1_1x1_74, 0.28, None, 3, None, None, None
read_w2_z_74_1x128, 0.39, None, None, 5, None, None
multiply_465, 0.23, 2, None, None, None, None
add_598, 0.29, 2, None, None, None, None
read_hidden_1_1x1_75, 0.35, None, 3, None, None, None
read_w2_z_75_1x128, 0.38, None, None, 5, None, None
multiply_466, 0.29, 2, None, None, None, None
add_599, 0.48, 2, None, None, None, None
read_hidden_1_1x1_76, 0.17, None, 3, None, None, None
read_w2_z_76_1x128, 0.35, None, None, 5, None, None
multiply_467, 0.22, 2, None, None, None, None
add_600, 0.47, 2, None, None, None, None
read_hidden_1_1x1_77, 0.15, None, 3, None, None, None
read_w2_z_77_1x128, 0.45, None, None, 5, None, None
multiply_468, 0.11, 2, None, None, None, None
add_601, 0.40, 2, None, None, None, None
read_hidden_1_1x1_78, 0.31, None, 3, None, None, None
read_w2_z_78_1x128, 0.35, None, None, 5, None, None
multiply_469, 0.30, 2, None, None, None, None
add_602, 0.19, 2, None, None, None, None
read_hidden_1_1x1_79, 0.17, None, 3, None, None, None
read_w2_z_79_1x128, 0.14, None, None, 5, None, None
multiply_470, 0.31, 2, None, None, None, None
add_603, 0.41, 2, None, None, None, None
read_hidden_1_1x1_80, 0.29, None, 3, None, None, None
read_w2_z_80_1x128, 0.16, None, None, 5, None, None
multiply_471, 0.14, 2, None, None, None, None
add_604, 0.38, 2, None, None, None, None
read_hidden_1_1x1_81, 0.14, None, 3, None, None, None
read_w2_z_81_1x128, 0.45, None, None, 5, None, None
multiply_472, 0.28, 2, None, None, None, None
add_605, 0.13, 2, None, None, None, None
read_hidden_1_1x1_82, 0.29, None, 3, None, None, None
read_w2_z_82_1x128, 0.15, None, None, 5, None, None
multiply_473, 0.50, 2, None, None, None, None
add_606, 0.26, 2, None, None, None, None
read_hidden_1_1x1_83, 0.19, None, 3, None, None, None
read_w2_z_83_1x128, 0.42, None, None, 5, None, None
multiply_474, 0.14, 2, None, None, None, None
add_607, 0.47, 2, None, None, None, None
read_hidden_1_1x1_84, 0.25, None, 3, None, None, None
read_w2_z_84_1x128, 0.23, None, None, 5, None, None
multiply_475, 0.12, 2, None, None, None, None
add_608, 0.26, 2, None, None, None, None
read_hidden_1_1x1_85, 0.19, None, 3, None, None, None
read_w2_z_85_1x128, 0.14, None, None, 5, None, None
multiply_476, 0.35, 2, None, None, None, None
add_609, 0.16, 2, None, None, None, None
read_hidden_1_1x1_86, 0.29, None, 3, None, None, None
read_w2_z_86_1x128, 0.46, None, None, 5, None, None
multiply_477, 0.13, 2, None, None, None, None
add_610, 0.21, 2, None, None, None, None
read_hidden_1_1x1_87, 0.21, None, 3, None, None, None
read_w2_z_87_1x128, 0.29, None, None, 5, None, None
multiply_478, 0.43, 2, None, None, None, None
add_611, 0.26, 2, None, None, None, None
read_hidden_1_1x1_88, 0.47, None, 3, None, None, None
read_w2_z_88_1x128, 0.30, None, None, 5, None, None
multiply_479, 0.11, 2, None, None, None, None
add_612, 0.34, 2, None, None, None, None
read_hidden_1_1x1_89, 0.38, None, 3, None, None, None
read_w2_z_89_1x128, 0.13, None, None, 5, None, None
multiply_480, 0.36, 2, None, None, None, None
add_613, 0.49, 2, None, None, None, None
read_hidden_1_1x1_90, 0.39, None, 3, None, None, None
read_w2_z_90_1x128, 0.19, None, None, 5, None, None
multiply_481, 0.40, 2, None, None, None, None
add_614, 0.24, 2, None, None, None, None
read_hidden_1_1x1_91, 0.19, None, 3, None, None, None
read_w2_z_91_1x128, 0.47, None, None, 5, None, None
multiply_482, 0.15, 2, None, None, None, None
add_615, 0.25, 2, None, None, None, None
read_hidden_1_1x1_92, 0.34, None, 3, None, None, None
read_w2_z_92_1x128, 0.49, None, None, 5, None, None
multiply_483, 0.30, 2, None, None, None, None
add_616, 0.12, 2, None, None, None, None
read_hidden_1_1x1_93, 0.37, None, 3, None, None, None
read_w2_z_93_1x128, 0.19, None, None, 5, None, None
multiply_484, 0.21, 2, None, None, None, None
add_617, 0.12, 2, None, None, None, None
read_hidden_1_1x1_94, 0.49, None, 3, None, None, None
read_w2_z_94_1x128, 0.19, None, None, 5, None, None
multiply_485, 0.39, 2, None, None, None, None
add_618, 0.18, 2, None, None, None, None
read_hidden_1_1x1_95, 0.43, None, 3, None, None, None
read_w2_z_95_1x128, 0.32, None, None, 5, None, None
multiply_486, 0.37, 2, None, None, None, None
add_619, 0.31, 2, None, None, None, None
read_hidden_1_1x1_96, 0.39, None, 3, None, None, None
read_w2_z_96_1x128, 0.14, None, None, 5, None, None
multiply_487, 0.10, 2, None, None, None, None
add_620, 0.42, 2, None, None, None, None
read_hidden_1_1x1_97, 0.15, None, 3, None, None, None
